type,title,note text,source location,last updated,created
journal,,,undefined,2023-06-11T03:12:37.287Z,2023-06-11T03:12:37.287Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/1-ne/10?lang=spa&id=p19,2023-06-08T22:53:33.631Z,2023-06-08T22:53:33.631Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/42johnson?lang=spa&id=p18,2023-06-08T22:51:57.509Z,2023-06-08T21:19:06.766Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2015/04/choose-to-believe?lang=spa&id=p7-p8,2023-06-08T21:51:58.099Z,2023-06-08T21:51:16.253Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2022/10/46bednar?lang=spa&id=p31-p32,2023-06-08T21:43:57.504Z,2023-06-08T21:43:55.945Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2022/10/46bednar?lang=spa&id=p28,2023-06-08T21:42:49.839Z,2023-06-08T21:42:48.254Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2022/10/46bednar?lang=spa&id=p27-p37,2023-06-08T21:42:06.558Z,2023-06-08T21:42:06.558Z
highlight,,,undefined,2023-06-08T21:40:38.064Z,2023-06-08T21:40:38.064Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2022/10/46bednar?lang=spa&id=p23,2023-06-08T21:35:51.454Z,2023-06-08T21:35:51.454Z
highlight,,,undefined,2023-06-08T21:28:26.200Z,2023-06-08T21:28:26.199Z
highlight,,,undefined,2023-06-08T21:25:37.347Z,2023-06-08T21:25:35.749Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/42johnson?lang=spa&id=p23,2023-06-08T21:21:24.602Z,2023-06-08T21:21:24.601Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/42johnson?lang=spa&id=p17,2023-06-08T21:18:06.117Z,2023-06-08T21:18:06.117Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/matt/26?lang=spa&id=p10,2023-06-04T15:32:14.606Z,2023-06-04T15:32:14.606Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/matt/26?lang=spa&id=p11-p12,2023-06-04T15:32:03.202Z,2023-06-04T15:32:03.202Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/pgp/moses/6?lang=spa&id=p35-p36,2023-06-02T23:04:25.096Z,2023-06-02T23:04:25.095Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/pgp/moses/5?lang=spa&id=p59,2023-06-02T22:46:11.662Z,2023-06-02T22:46:05.529Z
journal,LA REVELACIÓN ,<ol><li>El señor nunca nos dará nada que no deseemos</li><li>Poner en prioridad la doctrina de cristo</li><li>Descubrir la naturaleza del padre (mosiah 5:13)</li><li>Fe para actuar aunque no hayamos aún la revelación</li><li>Ser manso y humildes seremos más receptivos y agradecidos</li><li>El ejemplo de alma&nbsp;</li></ol><div><br></div>,undefined,2023-05-28T15:12:48.894Z,2023-05-28T15:12:48.881Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/luke/17?lang=spa&id=p1,2023-05-28T14:34:51.869Z,2023-05-28T14:34:46.533Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2000/10/the-covenant-of-baptism-to-be-in-the-kingdom-and-of-the-kingdom?lang=spa&id=p17,2023-05-27T22:27:01.289Z,2023-05-27T22:27:01.289Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2000/10/the-covenant-of-baptism-to-be-in-the-kingdom-and-of-the-kingdom?lang=spa&id=p19-p20,2023-05-27T22:23:38.380Z,2023-05-27T22:23:38.380Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2000/10/the-covenant-of-baptism-to-be-in-the-kingdom-and-of-the-kingdom?lang=spa&id=p18,2023-05-27T22:21:55.877Z,2023-05-27T22:21:55.877Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2000/10/the-covenant-of-baptism-to-be-in-the-kingdom-and-of-the-kingdom?lang=spa&id=p17,2023-05-27T22:21:36.011Z,2023-05-27T22:21:36.010Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2000/10/the-covenant-of-baptism-to-be-in-the-kingdom-and-of-the-kingdom?lang=spa&id=p16,2023-05-27T22:21:07.751Z,2023-05-27T22:20:29.122Z
highlight,,,https://www.churchofjesuschrist.org/study/general-conference/2000/10/the-covenant-of-baptism-to-be-in-the-kingdom-and-of-the-kingdom?lang=spa&id=p18,2023-05-27T22:19:02.774Z,2023-05-27T22:19:02.774Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/mosiah/2?lang=spa&id=p17,2023-05-25T17:53:41.269Z,2023-05-25T17:53:41.269Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/jesus-the-christ/chapter-10?lang=spa&id=p12,2023-05-23T13:51:13.755Z,2023-05-23T13:51:13.908Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/jesus-the-christ/chapter-10?lang=spa&id=p9,2023-05-23T13:48:43.356Z,2023-05-23T13:48:43.356Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/ot/hag/2?lang=spa&id=p4,2023-05-21T18:16:26.817Z,2023-05-21T18:16:10.255Z
highlight,,<div>Puedo ver qué Jehová es celoso en cuanto a la construcción de templos y la asistencia así como lo es con los diezmos.</div>,https://www.churchofjesuschrist.org/study/scriptures/ot/hag/1?lang=spa&id=p4-p10,2023-05-21T18:15:40.947Z,2023-05-21T18:13:37.785Z
journal,,<div>Hoy fue un domingo de resurrección muy especial trabajamos todo el día en la obra y al final de este día El Padre nos bendijo con un regalo nos llamo franco de sorpresa y podía hablar con nosotros fue maravilloso ver lo emocionado y feliz que estaba por una hermosa semana de trabajo es tan gratificante ver su carita llena de luz y amor por esta obra. Sentimos que el Padre nos decía nos e preocupen yo lo cuido.😭 Fue hermoso&nbsp;</div>,undefined,2023-04-10T03:14:11.156Z,2023-04-10T03:14:00.567Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/gospel-topics/holy-ghost?lang=spa&id=p11,2023-03-25T20:57:19.748Z,2023-03-25T20:57:19.748Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/gospel-topics/holy-ghost?lang=spa&id=p8,2023-03-25T20:56:11.087Z,2023-03-25T20:56:11.087Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/gospel-topics/holy-ghost?lang=spa&id=p6,2023-03-25T20:55:07.981Z,2023-03-25T20:55:07.981Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/gospel-topics/holy-ghost?lang=spa&id=p3,2023-03-25T20:54:29.937Z,2023-03-25T20:54:29.937Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/gospel-topics/holy-ghost?lang=spa&id=p3,2023-03-25T20:54:06.126Z,2023-03-25T20:54:06.126Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/come-follow-me-for-sunday-school-new-testament-2023/12?lang=spa&id=p9,2023-03-19T14:59:43.684Z,2023-03-19T14:59:27.796Z
highlight,,,undefined,2023-03-12T14:41:10.702Z,2023-03-12T14:41:07.448Z
highlight,,,undefined,2023-03-12T14:40:59.257Z,2023-03-12T14:40:56.003Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/matt/8?lang=spa&id=p2,2023-03-05T14:28:56.088Z,2023-03-05T14:28:56.088Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/enos/1?lang=spa&id=p9,2023-02-26T13:02:54.192Z,2023-02-26T13:02:46.344Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/enos/1?lang=spa&id=p4,2023-02-26T13:01:45.528Z,2023-02-26T13:01:45.528Z
journal,,"<div>Hoy es un día especial como muchis otros pero hoy escribo, hubieron hermosos cambios en el templo en cuanto a las ordenanzas. También estudiamos juntos con Pablo y franco escribió algo hermoso hacerca de la oración. Me hace feliz trabajar en el templo me hace feliz sentir que el padre Celestial me cuida. Me hace feliz que apesar de mis miedos y los grandes eventos de dolor que he pasado aún así pueda disyde este tiempo de felicidad. Estamos muy felices Flavio y yo por la desicion de franco y pablo</div>",undefined,2023-02-24T01:10:36.934Z,2023-02-24T01:10:36.918Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/jacob/7?lang=spa&id=p22,2023-02-23T14:55:31.809Z,2023-02-23T14:55:31.809Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/jacob/7?lang=spa&id=p12,2023-02-23T14:47:39.247Z,2023-02-23T14:47:39.247Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/jacob/6?lang=spa&id=p3,2023-02-22T12:19:05.009Z,2023-02-22T12:19:05.009Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/gs/peacemaker?lang=spa&id=p1,2023-02-19T14:28:21.335Z,2023-02-19T14:28:09.778Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/luke/6?lang=spa&id=p47,2023-02-16T10:13:49.166Z,2023-02-16T10:13:41.192Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/matt/5?lang=spa&id=p19,2023-02-16T09:55:36.669Z,2023-02-16T09:55:24.467Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/matt/5?lang=spa&id=p16,2023-02-16T09:54:28.211Z,2023-02-16T09:53:35.120Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/dc-testament/dc/56?lang=spa&id=p18,2023-02-16T09:51:12.054Z,2023-02-16T09:51:12.054Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/nt/matt/5?lang=spa&id=p3,2023-02-16T09:49:51.076Z,2023-02-16T09:49:40.819Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-5?lang=spa&id=p46,2023-02-05T17:04:28.186Z,2023-02-05T17:04:28.186Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-5?lang=spa&id=p44,2023-02-05T17:04:09.762Z,2023-02-05T17:04:09.762Z
highlight,,,https://www.churchofjesuschrist.org/study/history/topics/gathering-of-israel?lang=spa&id=p3,2023-01-29T14:25:32.748Z,2023-01-29T14:25:10.821Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-4?lang=spa&id=p22,2023-01-22T19:37:15.862Z,2023-01-22T19:37:15.862Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-4?lang=spa&id=p23,2023-01-22T19:36:23.887Z,2023-01-22T19:36:23.887Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-4?lang=spa&id=title6-p8,2023-01-22T19:28:35.078Z,2023-01-22T19:28:35.078Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-4?lang=spa&id=title7-p17,2023-01-22T19:28:10.078Z,2023-01-22T19:28:10.077Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-4?lang=spa&id=p17,2023-01-22T19:27:57.944Z,2023-01-22T19:27:57.944Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-4?lang=spa&id=title8-p21,2023-01-22T19:27:08.955Z,2023-01-22T19:27:08.955Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-4?lang=spa&id=p23,2023-01-22T19:26:35.308Z,2023-01-22T19:26:35.308Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-3?lang=spa&id=p21,2023-01-15T19:06:27.942Z,2023-01-15T19:06:27.942Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-3?lang=spa&id=p12-p15,2023-01-15T19:01:06.649Z,2023-01-15T19:01:06.649Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-1?lang=spa&id=p28-p36,2023-01-15T18:20:36.837Z,2023-01-15T18:20:36.837Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-1?lang=spa&id=title9,2023-01-15T18:20:24.384Z,2023-01-15T18:20:24.384Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-1?lang=spa&id=p27,2023-01-15T18:20:10.032Z,2023-01-15T18:20:10.032Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-1?lang=spa&id=p26,2023-01-15T18:19:44.685Z,2023-01-15T18:19:44.685Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-1?lang=spa&id=title8,2023-01-15T18:19:33.740Z,2023-01-15T18:19:33.740Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-1?lang=spa&id=p25,2023-01-15T18:19:14.247Z,2023-01-15T18:19:14.247Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-1?lang=spa&id=p24,2023-01-15T18:18:56.205Z,2023-01-15T18:18:56.205Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-1?lang=spa&id=p23,2023-01-15T18:18:21.879Z,2023-01-15T18:18:21.879Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-1?lang=spa&id=p22,2023-01-15T18:17:59.481Z,2023-01-15T18:17:59.481Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-1?lang=spa&id=title7,2023-01-15T18:17:39.943Z,2023-01-15T18:17:39.943Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-1?lang=spa&id=p17,2023-01-15T18:17:14.535Z,2023-01-15T18:17:14.535Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/jacob/2?lang=spa&id=p5,2023-01-14T14:14:09.393Z,2023-01-14T14:14:01.473Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/come-follow-me-for-sunday-school-new-testament-2023/01?lang=spa&id=p8,2023-01-01T14:19:14.950Z,2023-01-01T14:18:59.479Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-1?lang=spa&id=p16,2022-12-18T19:05:55.546Z,2022-12-18T19:05:55.546Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-1?lang=spa&id=p12,2022-12-18T19:05:30.405Z,2022-12-18T19:04:12.579Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-1?lang=spa&id=p13,2022-12-18T19:05:21.907Z,2022-12-18T19:04:44.620Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-1?lang=spa&id=p10,2022-12-18T19:03:44.229Z,2022-12-18T19:03:44.229Z
highlight,,,https://www.churchofjesuschrist.org/study/manual/endowed-from-on-high/lesson-1?lang=spa&id=title5-p7,2022-12-18T19:03:13.558Z,2022-12-18T19:03:13.558Z
